,Track,Distance,Condish,Par Time
19,beaumont,2000,good,124.83250000000001
20,beaumont,2000,soft,124.67999999999999
21,beaumont,2000,heavy,
22,beaumont,1300,good,77.11666666666666
23,beaumont,1300,soft,76.97999999999999
24,beaumont,1300,heavy,78.08
25,beaumont,2200,good,137.45
26,beaumont,2200,soft,136.58749999999998
27,beaumont,2200,heavy,141.04
28,beaumont,3200,good,
29,beaumont,3200,soft,
30,beaumont,3200,heavy,209.15
31,beaumont,2050,good,
32,beaumont,2050,soft,
33,beaumont,2050,heavy,
34,beaumont,2040,good,
35,beaumont,2040,soft,129.06
36,beaumont,2040,heavy,
,Track,Distance,Condish,Par Time
1,horsham,1100,good,65.08310344827588
2,horsham,1100,soft,66.64636363636363
3,horsham,1100,heavy,67.11333333333333
4,horsham,1400,good,84.35185185185185
5,horsham,1400,soft,86.16928571428572
6,horsham,1400,heavy,86.69666666666666
7,horsham,1800,good,111.42230769230767
8,horsham,1800,soft,114.11857142857143
9,horsham,1800,heavy,116.555
10,horsham,1200,good,71.4
11,horsham,1200,soft,72.96714285714286
12,horsham,1200,heavy,73.96000000000001
13,horsham,2100,good,131.13
14,horsham,2100,soft,134.34
15,horsham,2100,heavy,134.51
,Track,Distance,Condish,Par Time
1,wyong,1600,good,97.7615625
2,wyong,1600,soft,98.6204
3,wyong,1600,heavy,98.9925
4,wyong,2100,good,131.28142857142856
5,wyong,2100,soft,132.45583333333335
6,wyong,2100,heavy,
7,wyong,1000,good,57.221304347826084
8,wyong,1000,soft,57.78833333333333
9,wyong,1000,heavy,58.39
10,wyong,1350,good,79.80731707317072
11,wyong,1350,soft,80.82973684210529
12,wyong,1350,heavy,81.38333333333334
13,wyong,1200,good,69.7964705882353
14,wyong,1200,soft,70.45421052631579
15,wyong,1200,heavy,71.7
16,wyong,1300,good,76.2125
17,wyong,1300,soft,77.55428571428571
18,wyong,1300,heavy,
19,wyong,1100,good,63.61305555555558
20,wyong,1100,soft,63.97000000000001
21,wyong,1100,heavy,64.59333333333333
22,wyong,2000,good,125.82
23,wyong,2000,soft,126.71
24,wyong,2000,heavy,127.91
,Track,Distance,Condish,Par Time
1,nowra,1000,good,57.9675
2,nowra,1000,soft,59.43916666666667
3,nowra,1000,heavy,59.949999999999996
4,nowra,1400,good,83.19782608695654
5,nowra,1400,soft,85.44999999999999
6,nowra,1400,heavy,88.28588235294117
7,nowra,1200,good,69.57
8,nowra,1200,soft,71.57
9,nowra,1200,heavy,73.72444444444444
10,nowra,1100,good,63.254400000000004
11,nowra,1100,soft,64.36464285714285
12,nowra,1100,heavy,67.14
13,nowra,1600,good,97.36222222222221
14,nowra,1600,soft,99.3425
15,nowra,1600,heavy,101.75666666666666
16,nowra,2200,good,138.135
17,nowra,2200,soft,143.41000000000003
18,nowra,2200,heavy,146.935
19,nowra,1500,good,
20,nowra,1500,soft,
21,nowra,1500,heavy,95.67
22,nowra,2100,good,137.15
23,nowra,2100,soft,
24,nowra,2100,heavy,
,Track,Distance,Condish,Par Time
1,gilgandra,1600,good,98.06714285714284
2,gilgandra,1600,soft,96.74750000000002
3,gilgandra,1600,heavy,101.01
4,gilgandra,1280,good,76.31764705882352
5,gilgandra,1280,soft,78.12444444444446
6,gilgandra,1280,heavy,78.5625
7,gilgandra,1800,good,108.54
8,gilgandra,1800,soft,115.32
9,gilgandra,1800,heavy,
10,gilgandra,1100,good,64.78307692307692
11,gilgandra,1100,soft,66.96000000000001
12,gilgandra,1100,heavy,67.13
13,gilgandra,1000,good,59.29600000000001
14,gilgandra,1000,soft,60.26714285714286
15,gilgandra,1000,heavy,60.46
16,gilgandra,1200,good,71.8488888888889
17,gilgandra,1200,soft,73.188
18,gilgandra,1200,heavy,73.05
19,gilgandra,800,good,45.681538461538466
20,gilgandra,800,soft,46.355
21,gilgandra,800,heavy,47.01
22,gilgandra,1550,good,96.09666666666668
23,gilgandra,1550,soft,98.63333333333333
24,gilgandra,1550,heavy,98.02
25,gilgandra,1300,good,77.78500000000001
26,gilgandra,1300,soft,
